"id","date","base_currency","sgd","eur","aud","idr"
"2019-11-01","2019-11-01 19:26:17","USD",1.3579,0.8964,1.4489,14031.0880
"2019-11-02","2019-11-02 19:26:16","USD",1.3581,0.8954,1.4474,13992.2000
"2019-11-03","2019-11-03 19:26:16","USD",1.3578,0.8955,1.4472,13989.3000
"2019-11-04","2019-11-04 19:26:18","USD",1.3570,0.8957,1.4466,14021.5000
"2019-11-05","2019-11-05 19:26:16","USD",1.3566,0.8995,1.4451,14075.2595
"2019-11-06","2019-11-06 19:26:19","USD",1.3586,0.9024,1.4495,14010.0297
"2019-11-07","2019-11-07 19:26:17","USD",1.3572,0.9026,1.4497,14018.2946
"2019-11-08","2019-11-08 19:26:18","USD",1.3595,0.9067,1.4565,14060.4957
"2019-11-09","2019-11-09 19:26:17","USD",1.3594,0.9075,1.4573,14017.6840
"2019-11-10","2019-11-10 19:26:16","USD",1.3594,0.9075,1.4573,14018.5770
"2019-11-11","2019-11-11 19:26:17","USD",1.3613,0.9069,1.4593,14015.8988
"2019-11-12","2019-11-12 19:26:18","USD",1.3614,0.9076,1.4621,14074.5000
"2019-11-13","2019-11-13 19:26:18","USD",1.3629,0.9083,1.4647,14064.2603
"2019-11-14","2019-11-14 19:26:16","USD",1.3631,0.9099,1.4738,14105.0000
"2019-11-15","2019-11-15 19:26:17","USD",1.3615,0.9064,1.4713,14032.3275
"2019-11-16","2019-11-16 19:26:16","USD",1.3606,0.9049,1.4670,14072.3930
"2019-11-17","2019-11-17 19:26:15","USD",1.3604,0.9049,1.4670,14073.4575
"2019-11-18","2019-11-18 19:26:16","USD",1.3602,0.9041,1.4680,14037.1244
"2019-11-19","2019-11-19 19:26:17","USD",1.3604,0.9027,1.4662,14082.0000
"2019-11-20","2019-11-20 19:26:16","USD",1.3616,0.9044,1.4684,14101.7500
"2019-11-21","2019-11-21 19:26:17","USD",1.3612,0.9021,1.4686,14057.7574
"2019-11-22","2019-11-22 19:26:17","USD",1.3630,0.9038,1.4732,14095.8000
"2019-11-23","2019-11-23 19:26:17","USD",1.3644,0.9073,1.4742,14091.0855
"2019-11-24","2019-11-24 19:26:18","USD",1.3644,0.9072,1.4732,14087.5521
"2019-11-25","2019-11-25 19:26:16","USD",1.3652,0.9078,1.4726,14148.2332
"2019-11-26","2019-11-26 19:26:18","USD",1.3662,0.9077,1.4751,14095.0000
"2019-11-27","2019-11-27 19:26:18","USD",1.3658,0.9084,1.4738,14095.6126
"2019-11-28","2019-11-28 19:26:16","USD",1.3658,0.9089,1.4769,14095.0000
"2019-11-29","2019-11-29 19:26:17","USD",1.3669,0.9094,1.4761,14109.1000
"2019-11-30","2019-11-30 19:26:17","USD",1.3678,0.9076,1.4793,14085.8490
"2019-12-01","2019-12-01 19:26:17","USD",1.3678,0.9076,1.4793,14085.8490
"2019-12-02","2019-12-02 19:26:17","USD",1.3687,0.9084,1.4738,14089.7481
"2019-12-03","2019-12-03 19:26:17","USD",1.3648,0.9029,1.4597,14041.2629
"2019-12-04","2019-12-04 19:26:17","USD",1.3637,0.9034,1.4639,14112.7652
"2019-12-05","2019-12-05 19:26:16","USD",1.3614,0.9016,1.4646,14051.0000
"2019-12-06","2019-12-06 19:26:16","USD",1.3599,0.9014,1.4598,14061.7635
"2019-12-07","2019-12-07 19:26:16","USD",1.3601,0.9043,1.4619,14023.8950
"2019-12-08","2019-12-08 19:26:15","USD",1.3601,0.9043,1.4619,14023.8950
"2019-12-09","2019-12-09 19:26:17","USD",1.3597,0.9031,1.4656,14062.6041
"2019-12-10","2019-12-10 19:26:18","USD",1.3596,0.9022,1.4676,14002.7955
"2019-12-11","2019-12-11 19:26:16","USD",1.3595,0.9024,1.4625,14047.0000
"2019-12-12","2019-12-12 19:26:16","USD",1.3568,0.8983,1.4511,13971.2035
"2019-12-13","2019-12-13 19:26:16","USD",1.3524,0.8948,1.4463,13992.5000
"2019-12-14","2019-12-14 19:26:16","USD",1.3535,0.8992,1.4542,13973.6055
"2019-12-15","2019-12-15 19:26:16","USD",1.3535,0.8992,1.4533,13973.6055
"2019-12-16","2019-12-16 19:26:16","USD",1.3547,0.8973,1.4520,14025.2936
"2019-12-17","2019-12-17 19:26:16","USD",1.3548,0.8960,1.4594,13984.6020
"2019-12-18","2019-12-18 19:26:16","USD",1.3559,0.8986,1.4593,14030.7886
"2019-12-19","2019-12-19 19:26:15","USD",1.3557,0.8987,1.4553,13976.1921
"2019-12-20","2019-12-20 19:26:16","USD",1.3553,0.9012,1.4501,14022.1151
"2019-12-21","2019-12-21 19:26:16","USD",1.3550,0.9028,1.4490,13966.7840
"2019-12-22","2019-12-22 19:26:16","USD",1.3550,0.9027,1.4490,13966.7840
"2019-12-23","2019-12-23 19:26:16","USD",1.3555,0.9025,1.4436,13998.4381
"2019-12-24","2019-12-24 19:26:17","USD",1.3553,0.9030,1.4453,13976.2021
"2019-12-25","2019-12-25 19:26:16","USD",1.3551,0.9010,1.4451,13935.0335
"2019-12-26","2019-12-26 19:26:16","USD",1.3546,0.9021,1.4444,13952.6937
"2019-12-27","2019-12-27 19:26:17","USD",1.3525,0.8971,1.4350,13875.2238
"2019-12-28","2019-12-28 19:26:17","USD",1.3522,0.8949,1.4321,13956.1685
"2019-12-29","2019-12-29 19:26:16","USD",1.3522,0.8949,1.4321,13956.1685
"2019-12-30","2019-12-30 19:26:17","USD",1.3486,0.8935,1.4293,13895.6525
"2019-12-31","2019-12-31 19:26:16","USD",1.3454,0.8907,1.4256,13867.0000
"2020-01-01","2020-01-01 19:26:16","USD",1.3521,0.8911,1.4209,13890.0505
"2020-01-02","2020-01-02 19:26:16","USD",1.3479,0.8941,1.4316,13891.0000
"2020-01-03","2020-01-03 19:26:16","USD",1.3507,0.8985,1.4425,13958.3819
"2020-01-04","2020-01-04 19:26:16","USD",1.3498,0.8961,1.4390,13940.1825
"2020-01-05","2020-01-05 19:26:16","USD",1.3498,0.8961,1.4390,13940.1825
"2020-01-06","2020-01-06 19:26:17","USD",1.3492,0.8926,1.4393,13934.5000
"2020-01-07","2020-01-07 19:26:17","USD",1.3495,0.8943,1.4542,13966.7405
"2020-01-08","2020-01-08 19:26:16","USD",1.3505,0.8986,1.4554,13943.3967
"2020-01-09","2020-01-09 19:26:17","USD",1.3519,0.9005,1.4579,13920.6465
"2020-01-10","2020-01-10 19:26:20","USD",1.3495,0.9015,1.4528,13865.6027
"2020-01-11","2020-01-11 19:26:16","USD",1.3484,0.8992,1.4490,13757.2270
"2020-01-12","2020-01-12 19:26:16","USD",1.3490,0.8991,1.4495,13758.3770
"2020-01-13","2020-01-13 19:26:16","USD",1.3473,0.8992,1.4492,13728.8403
"2020-01-14","2020-01-14 19:26:16","USD",1.3473,0.8984,1.4484,13656.0199
"2020-01-15","2020-01-15 19:26:16","USD",1.3465,0.8970,1.4503,13648.4200
"2020-01-16","2020-01-16 19:26:17","USD",1.3459,0.8961,1.4438,13652.1475
"2020-01-17","2020-01-17 19:26:16","USD",1.3463,0.8999,1.4494,13685.7342
"2020-01-18","2020-01-18 19:26:16","USD",1.3474,0.9016,1.4548,13648.0000
"2020-01-19","2020-01-19 19:26:18","USD",1.3474,0.9016,1.4522,13648.0000
"2020-01-20","2020-01-20 19:26:16","USD",1.3478,0.9021,1.4565,13635.0000
"2020-01-21","2020-01-21 19:26:15","USD",1.3494,0.9005,1.4567,13607.5850
"2020-01-22","2020-01-22 19:26:16","USD",1.3491,0.9026,1.4605,13690.8471
"2020-01-23","2020-01-23 19:26:16","USD",1.3491,0.9017,1.4558,13630.1691
"2020-01-24","2020-01-24 19:26:17","USD",1.3512,0.9062,1.4602,13697.6272
"2020-01-25","2020-01-25 19:26:17","USD",1.3514,0.9070,1.4645,13609.5500
"2020-01-26","2020-01-26 19:26:15","USD",1.3514,0.9070,1.4645,13609.5500
"2020-01-27","2020-01-27 19:26:17","USD",1.3565,0.9070,1.4771,13586.0445
"2020-01-28","2020-01-28 19:26:16","USD",1.3587,0.9082,1.4812,13662.5000
"2020-01-29","2020-01-29 19:26:16","USD",1.3612,0.9089,1.4817,13648.8387
"2020-01-30","2020-01-30 19:26:16","USD",1.3625,0.9072,1.4856,13600.1149
"2020-01-31","2020-01-31 19:26:17","USD",1.3656,0.9060,1.4943,13626.4499
"2020-02-01","2020-02-01 19:26:16","USD",1.3649,0.9014,1.4939,13772.2000
"2020-02-02","2020-02-02 19:26:16","USD",1.3649,0.9014,1.4942,13772.2000
"2020-02-03","2020-02-03 19:26:16","USD",1.3679,0.9039,1.4928,13623.8946
"2020-02-04","2020-02-04 19:26:16","USD",1.3712,0.9047,1.4893,13753.0104
"2020-02-05","2020-02-05 19:26:17","USD",1.3807,0.9073,1.4798,13663.5000
"2020-02-06","2020-02-06 19:26:17","USD",1.3847,0.9091,1.4817,13701.6047
"2020-02-07","2020-02-07 19:26:16","USD",1.3905,0.9131,1.4962,13679.1854
"2020-02-08","2020-02-08 19:26:16","USD",1.3898,0.9136,1.4986,13681.7155
"2020-02-09","2020-02-09 19:26:16","USD",1.3898,0.9136,1.4986,13681.7155
"2020-02-10","2020-02-10 19:26:17","USD",1.3885,0.9132,1.4938,13674.9427
"2020-02-11","2020-02-11 19:26:16","USD",1.3873,0.9164,1.4909,13741.3741
"2020-02-12","2020-02-12 19:26:15","USD",1.3859,0.9164,1.4824,13676.0000
"2020-02-13","2020-02-13 19:26:16","USD",1.3894,0.9210,1.4866,13712.3750
"2020-02-14","2020-02-14 19:26:16","USD",1.3917,0.9227,1.4898,13705.9992
"2020-02-15","2020-02-15 19:26:15","USD",1.3917,0.9233,1.4896,13693.7480
"2020-02-16","2020-02-16 19:26:16","USD",1.3917,0.9233,1.4896,13693.7480
"2020-02-17","2020-02-17 19:26:16","USD",1.3890,0.9226,1.4878,13671.7870
"2020-02-18","2020-02-18 19:26:16","USD",1.3921,0.9238,1.4960,13669.0219
"2020-02-19","2020-02-19 19:26:16","USD",1.3924,0.9266,1.4947,13700.7500
"2020-02-20","2020-02-20 19:26:16","USD",1.4001,0.9262,1.5077,13822.0000
"2020-02-21","2020-02-21 19:26:16","USD",1.4004,0.9254,1.5149,13696.1513
"2020-02-22","2020-02-22 19:26:16","USD",1.3976,0.9219,1.5089,13775.2705
"2020-02-23","2020-02-23 19:26:17","USD",1.3976,0.9219,1.5106,13775.2705
"2020-02-24","2020-02-24 19:26:16","USD",1.4019,0.9241,1.5144,13947.5500
